Id,OrganizationId,CertifiedStatus,License,CertificateCode,CertificateType,Organization,Role,Country,CertificateUrl,SalesActivityStatus
a0240000005sQv6AAE,0014000000ReEPDAA3,Terminated,FSC-C002511,SW-COC-001921,COC,"""Advantage Service""",Site,INDONESIA,/api/v1/Certification/a0240000005sQv6AAE/PrintFile?culture=en,
a0240000005sQv6AAE,0014000000ReEQNAA3,Terminated,FSC-C002511,SW-COC-001921,COC,"""Dharma Cipta Karya Workshop""",Site,INDONESIA,/api/v1/Certification/a0240000005sQv6AAE/PrintFile?culture=en,
a0240000005sQv6AAE,0014000000ReEPtAAN,Terminated,FSC-C002511,SW-COC-001921,COC,"""Shovarimen Workshop""",Site,INDONESIA,/api/v1/Certification/a0240000005sQv6AAE/PrintFile?culture=en,
a0240000005sQv6AAE,0014000000ReEQ3AAN,Terminated,FSC-C002511,SW-COC-001921,COC,"""Tembi 2 Workshop""",Site,INDONESIA,/api/v1/Certification/a0240000005sQv6AAE/PrintFile?culture=en,
a0240000005sQv6AAE,0014000000Pee7CAAR,Terminated,FSC-C002511,SW-COC-001921,COC,"""Tembi Workshop”",Site,INDONESIA,/api/v1/Certification/a0240000005sQv6AAE/PrintFile?culture=en,
a024000000GnBxkAAF,0014000000sg3QiAAI,Terminated,FSC-C118009,IC-COC-100424,COC,ADI Furniture,Certificate holder,INDONESIA,/api/v1/Certification/a024000000GnBxkAAF/PrintFile?culture=en,
a02f300000gIoDNAA0,001f3000021TiDZAA0,Valid,FSC-C140552,SA-FM/COC-006782,FM/COC,Abadi,Site,INDONESIA,/api/v1/Certification/a02f300000gIoDNAA0/PrintFile?culture=en,
a02f300000gIoDNAA0,001Do000002nY1JIAU,Valid,FSC-C140552,SA-FM/COC-006782,FM/COC,Anggrek Sejahtera,Expired site,INDONESIA,/api/v1/Certification/a02f300000gIoDNAA0/PrintFile?culture=en,
a0240000008nFkbAAE,001f300001zUQOoAAO,Valid,FSC-C110432,SCS-COC-007270,COC,Aprilia Jati,Site,INDONESIA,/api/v1/Certification/a0240000008nFkbAAE/PrintFile?culture=en,
a024y00000o7Sn9AAE,0014y00002VaIUmAAN,Valid,FSC-C171951,SCS-COC-007707,COC,Arkatama Isvara Foundation,Expired site,INDONESIA,/api/v1/Certification/a024y00000o7Sn9AAE/PrintFile?culture=en,
a024y00000o7Sn9AAE,0014y000021V6coAAC,Valid,FSC-C171951,SCS-COC-007707,COC,Arkatama Isvara Foundation,Unspecified,INDONESIA,/api/v1/Certification/a024y00000o7Sn9AAE/PrintFile?culture=en,
a0240000005sRCjAAM,0014000000PebZgAAJ,Terminated,FSC-C003604,TT-COC-001651,COC,Aurora Group,Certificate holder,INDONESIA,/api/v1/Certification/a0240000005sRCjAAM/PrintFile?culture=en,
a02f300000gIoDNAA0,001f3000021TiByAAK,Valid,FSC-C140552,SA-FM/COC-006782,FM/COC,Bahagia,Site,INDONESIA,/api/v1/Certification/a02f300000gIoDNAA0/PrintFile?culture=en,
a02Do000001456xIAA,001Do00000GSDm0IAH,Terminated,FSC-C188646,SCS-FM/COC-009836,FM/COC,BambooCoop,Certificate holder,INDONESIA,/api/v1/Certification/a02Do000001456xIAA/PrintFile?culture=en,
a02UV00000ERx7BYAT,001UV00000hfKEwYAM,Valid,FSC-C218848,SCS-COC-701862,COC,Barokah Jati,Site,INDONESIA,/api/v1/Certification/a02UV00000ERx7BYAT/PrintFile?culture=en,
a02400000083QTjAAM,0014000000cDZRUAA4,Terminated,FSC-C108962,SCS-COC-003964,COC,CV ALMENTA,Certificate holder,INDONESIA,/api/v1/Certification/a02400000083QTjAAM/PrintFile?culture=en,
a02UV00000K4CK1YAN,001UV00000dHvl2YAC,Valid,FSC-C224230,BV-COC-224230,COC,CV ALMENTA,Certificate holder,INDONESIA,/api/v1/Certification/a02UV00000K4CK1YAN/PrintFile?culture=en,
a024y00000jqbI3AAI,0014y00002iYF0uAAG,Valid,FSC-C180381,CU-COC-889517,COC,CV ANINDO FURNITURE,Certificate holder,INDONESIA,/api/v1/Certification/a024y00000jqbI3AAI/PrintFile?culture=en,
a0240000005vbB6AAI,0014000000WLhcfAAD,Terminated,FSC-C101974,IC-COC-100200,COC,CV Airlangga Mebelindo Design,Certificate holder,INDONESIA,/api/v1/Certification/a0240000005vbB6AAI/PrintFile?culture=en,
a02f300000jTdtHAAS,001f300001weBiSAAU,Terminated,FSC-C151297,SCS-COC-006936,COC,CV Ajisaka Baru,Certificate holder,INDONESIA,/api/v1/Certification/a02f300000jTdtHAAS/PrintFile?culture=en,
