Id,Organization,License,CertificateCode,CertificateType,CertifiedStatus,Role,Country,CertifiedForestArea,FirstIssueDate,LastIssueDate,ExpiryDate,SuspensionDate,TerminatedDate,Address_City,Address_State,Address_Street,Address_PostalCode,CertificateUrl,SalesActivityStatus
a02f300000gIoDNAA0,Abadi,FSC-C140552,SA-FM/COC-006782,FM/COC,Valid,Site,INDONESIA,455.80 ha,2019-02-22T00:00:00,2024-02-22T00:00:00,2029-02-21T00:00:00,,,,Province of Jambi,"Jl. Anggrek Poros, Village of Suka Damai, Subdisctrict of Rimbo Ulu",,https://search-api.fsc.org/api/v1/Certification/a02f300000gIoDNAA0/PrintFile?culture=en,
a02f300000gIoDNAA0,Anggrek Sejahtera,FSC-C140552,SA-FM/COC-006782,FM/COC,Valid,Expired site,INDONESIA,455.80 ha,2019-02-22T00:00:00,2024-02-22T00:00:00,2029-02-21T00:00:00,,,,Province of Jambi,"Jl. Anggrek Poros, Village of Suka Damai, Subdisctrict of Rimbo Ulu",,https://search-api.fsc.org/api/v1/Certification/a02f300000gIoDNAA0/PrintFile?culture=en,
a02f300000gIoDNAA0,Bahagia,FSC-C140552,SA-FM/COC-006782,FM/COC,Valid,Site,INDONESIA,455.80 ha,2019-02-22T00:00:00,2024-02-22T00:00:00,2029-02-21T00:00:00,,,,Province of Jambi,"Jl. Anggrek Poros, Village of Suka Damai, Subdisctrict of Rimbo Ulu",,https://search-api.fsc.org/api/v1/Certification/a02f300000gIoDNAA0/PrintFile?culture=en,
a02Do000001456xIAA,BambooCoop,FSC-C188646,SCS-FM/COC-009836,FM/COC,Terminated,Certificate holder,INDONESIA,121.99 ha,2023-09-28T00:00:00,2025-09-22T00:00:00,,,2025-09-22T00:00:00,,Provinsi Nusa Tenggara Timur,"Jalan Padang, Desa Batu Cermin, Kecamatan Komodo",86763,https://search-api.fsc.org/api/v1/Certification/a02Do000001456xIAA/PrintFile?culture=en,
a02f300000e0UG9AAM,CV DIPANTARA,FSC-C137288,BV-FM/COC-137288,FM/COC,Valid,Certificate holder,INDONESIA,446.84 ha,2018-02-13T00:00:00,2023-02-13T00:00:00,2028-02-12T00:00:00,,,,,"Jl. Ringin Raya No.14 Condongcatur,",55283,https://search-api.fsc.org/api/v1/Certification/a02f300000e0UG9AAM/PrintFile?culture=en,
a024y00000m5YqVAAU,CV Indotama Kayu Lestari,FSC-C175782,SCS-FM/COC-008974,FM/COC,Valid,Certificate holder,INDONESIA,"2,372.64 ha",2022-06-06T00:00:00,2022-06-06T00:00:00,2027-06-05T00:00:00,,,,Jawa Tengah,Jl. Ringroad Selatan RT. 02 / RW. 04,54171,https://search-api.fsc.org/api/v1/Certification/a024y00000m5YqVAAU/PrintFile?culture=en,
a0240000006vnYUAAY,CV. Dipantara,FSC-C105494,SCS-FM/COC-004351,FM/COC,Terminated,Certificate holder,INDONESIA,294.00 ha,2012-09-25T00:00:00,2016-11-11T00:00:00,,,2016-11-11T00:00:00,,,Jl. Ringin Raya No.14 Condongcatur,55283,https://search-api.fsc.org/api/v1/Certification/a0240000006vnYUAAY/PrintFile?culture=en,
a024000000CtG9OAAV,Carangwulung,FSC-C114315,SA-FM/COC-004248,FM/COC,Terminated,Site,INDONESIA,222.18 ha,2013-12-05T00:00:00,2016-03-04T00:00:00,,,2016-03-04T00:00:00,,Jawa Timur,Wonosalam RT/RW: 04/01,,https://search-api.fsc.org/api/v1/Certification/a024000000CtG9OAAV/PrintFile?culture=en,
a02f300000gIoDNAA0,Citra Sejahtera Abadi,FSC-C140552,SA-FM/COC-006782,FM/COC,Valid,Expired site,INDONESIA,455.80 ha,2019-02-22T00:00:00,2024-02-22T00:00:00,2029-02-21T00:00:00,,,,Province of Jambi,"Jl. Anggrek Poros, Village of Suka Damai, Subdisctrict of Rimbo Ulu",,https://search-api.fsc.org/api/v1/Certification/a02f300000gIoDNAA0/PrintFile?culture=en,
a024000000CzmYsAAJ,Ds. Deles,FSC-C114372,SA-FM/COC-004475,FM/COC,Terminated,Site,INDONESIA,135.67 ha,2014-08-18T00:00:00,2016-02-01T00:00:00,,,2016-02-01T00:00:00,,Central Java,"Jl.Tersono - Bawang Km 0.5, Sub District Bawang",,https://search-api.fsc.org/api/v1/Certification/a024000000CzmYsAAJ/PrintFile?culture=en,
a024000000CzmYsAAJ,Ds. Getas,FSC-C114372,SA-FM/COC-004475,FM/COC,Terminated,Site,INDONESIA,135.67 ha,2014-08-18T00:00:00,2016-02-01T00:00:00,,,2016-02-01T00:00:00,,Central Java,"Jl.Tersono - Bawang Km 0.5, Sub District Bawang",,https://search-api.fsc.org/api/v1/Certification/a024000000CzmYsAAJ/PrintFile?culture=en,
a024000000CzmYsAAJ,Ds. Kalirejo,FSC-C114372,SA-FM/COC-004475,FM/COC,Terminated,Site,INDONESIA,135.67 ha,2014-08-18T00:00:00,2016-02-01T00:00:00,,,2016-02-01T00:00:00,,Central Java,"Jl.Tersono - Bawang Km 0.5, Sub District Bawang",,https://search-api.fsc.org/api/v1/Certification/a024000000CzmYsAAJ/PrintFile?culture=en,
a024000000CzmYsAAJ,Ds. Kebaturan,FSC-C114372,SA-FM/COC-004475,FM/COC,Terminated,Site,INDONESIA,135.67 ha,2014-08-18T00:00:00,2016-02-01T00:00:00,,,2016-02-01T00:00:00,,Central Java,"Jl.Tersono - Bawang Km 0.5, Sub District Bawang",,https://search-api.fsc.org/api/v1/Certification/a024000000CzmYsAAJ/PrintFile?culture=en,
a024000000CzmYsAAJ,Ds. Purbo,FSC-C114372,SA-FM/COC-004475,FM/COC,Terminated,Site,INDONESIA,135.67 ha,2014-08-18T00:00:00,2016-02-01T00:00:00,,,2016-02-01T00:00:00,,Central Java,"Jl.Tersono - Bawang Km 0.5, Sub District Bawang",,https://search-api.fsc.org/api/v1/Certification/a024000000CzmYsAAJ/PrintFile?culture=en,
a024000000CzmYsAAJ,Ds. Sibebek,FSC-C114372,SA-FM/COC-004475,FM/COC,Terminated,Site,INDONESIA,135.67 ha,2014-08-18T00:00:00,2016-02-01T00:00:00,,,2016-02-01T00:00:00,,Central Java,"Jl.Tersono - Bawang Km 0.5, Sub District Bawang",,https://search-api.fsc.org/api/v1/Certification/a024000000CzmYsAAJ/PrintFile?culture=en,
a024000000CzmYsAAJ,Ds. Sidoharjo,FSC-C114372,SA-FM/COC-004475,FM/COC,Terminated,Site,INDONESIA,135.67 ha,2014-08-18T00:00:00,2016-02-01T00:00:00,,,2016-02-01T00:00:00,,Central Java,"Jl.Tersono - Bawang Km 0.5, Sub District Bawang",,https://search-api.fsc.org/api/v1/Certification/a024000000CzmYsAAJ/PrintFile?culture=en,
a024000000CzmYsAAJ,Ds. Surjo,FSC-C114372,SA-FM/COC-004475,FM/COC,Terminated,Site,INDONESIA,135.67 ha,2014-08-18T00:00:00,2016-02-01T00:00:00,,,2016-02-01T00:00:00,,Central Java,"Jl.Tersono - Bawang Km 0.5, Sub District Bawang",,https://search-api.fsc.org/api/v1/Certification/a024000000CzmYsAAJ/PrintFile?culture=en,
a024000000CzmYsAAJ,Ds. Wonosari,FSC-C114372,SA-FM/COC-004475,FM/COC,Terminated,Site,INDONESIA,135.67 ha,2014-08-18T00:00:00,2016-02-01T00:00:00,,,2016-02-01T00:00:00,,Central Java,"Jl.Tersono - Bawang Km 0.5, Sub District Bawang",,https://search-api.fsc.org/api/v1/Certification/a024000000CzmYsAAJ/PrintFile?culture=en,
a02UV000000ySavYAE,FMU Alas Permai,FSC-C199529,PBN-FM/COC-076518,FM/COC,Valid,Site,INDONESIA,"15,913.70 ha",2024-05-08T00:00:00,2025-03-03T00:00:00,2029-05-07T00:00:00,,,,East Java,"Jl. Raya Klakah Km.3, Desa. Kebonan, Kecamatan Klakah",67356,https://search-api.fsc.org/api/v1/Certification/a02UV000000ySavYAE/PrintFile?culture=en,
a02UV000000ySavYAE,FMU Banyu Biru,FSC-C199529,PBN-FM/COC-076518,FM/COC,Valid,Site,INDONESIA,"15,913.70 ha",2024-05-08T00:00:00,2025-03-03T00:00:00,2029-05-07T00:00:00,,,,East Java,"Jl. Raya Klakah Km.3, Desa. Kebonan, Kecamatan Klakah",67356,https://search-api.fsc.org/api/v1/Certification/a02UV000000ySavYAE/PrintFile?culture=en,
a023300000WWQ3nAAH,FMU Enggal Mulyo,FSC-C127503,SCS-FM/COC-005367,FM/COC,Terminated,Certificate holder,INDONESIA,620.93 ha,2015-10-21T00:00:00,2020-12-21T00:00:00,,,2020-12-21T00:00:00,,,"Dusun Krajan, Desa Mrayan, Kecamatan Ngrayun Kab. Ponorogo",,https://search-api.fsc.org/api/v1/Certification/a023300000WWQ3nAAH/PrintFile?culture=en,
a02Do0000010j9HIAQ,FMU Karet Multiguna Perkasa,FSC-C193658,PBN-FM/COC-036146,FM/COC,Valid,Site,INDONESIA,"6,661.39 ha",2024-02-15T00:00:00,2025-03-03T00:00:00,2029-02-14T00:00:00,,,,East Java,"Jl. Segoromadu I No. 26, Kel. Segoromadu, Kec. Kebomas",61123,https://search-api.fsc.org/api/v1/Certification/a02Do0000010j9HIAQ/PrintFile?culture=en,
a02UV000000ySavYAE,FMU Klakah Lestari,FSC-C199529,PBN-FM/COC-076518,FM/COC,Valid,Site,INDONESIA,"15,913.70 ha",2024-05-08T00:00:00,2025-03-03T00:00:00,2029-05-07T00:00:00,,,,East Java,"Jl. Raya Klakah Km.3, Desa. Kebonan, Kecamatan Klakah",67356,https://search-api.fsc.org/api/v1/Certification/a02UV000000ySavYAE/PrintFile?culture=en,
a02f300000gHfNqAAK,FMU Lestari Jati Lestari,FSC-C135817,PBN-FM/COC-058291,FM/COC,Valid,Site,INDONESIA,"1,689.35 ha",2017-05-11T00:00:00,2025-05-31T00:00:00,2027-11-10T00:00:00,,,,DKI Jakarta,"Menara Rajawali, Level 7-1., Jl Dr Ide Anak Agung Gde Agung Lot 5.1, Kawasan Mega Kuningan, Kelurahan Kuningan Timur, Kecamatan Setiabudi",12950,https://search-api.fsc.org/api/v1/Certification/a02f300000gHfNqAAK/PrintFile?culture=en,
a02Do0000010j9HIAQ,FMU Wana Asri,FSC-C193658,PBN-FM/COC-036146,FM/COC,Valid,Site,INDONESIA,"6,661.39 ha",2024-02-15T00:00:00,2025-03-03T00:00:00,2029-02-14T00:00:00,,,,East Java,"Jl. Segoromadu I No. 26, Kel. Segoromadu, Kec. Kebomas",61123,https://search-api.fsc.org/api/v1/Certification/a02Do0000010j9HIAQ/PrintFile?culture=en,
a02UV000000ySavYAE,FMU Wana Lestari,FSC-C199529,PBN-FM/COC-076518,FM/COC,Valid,Site,INDONESIA,"15,913.70 ha",2024-05-08T00:00:00,2025-03-03T00:00:00,2029-05-07T00:00:00,,,,East Java,"Jl. Raya Klakah Km.3, Desa. Kebonan, Kecamatan Klakah",67356,https://search-api.fsc.org/api/v1/Certification/a02UV000000ySavYAE/PrintFile?culture=en,
a02UV000000ySavYAE,FMU Wana Makmur,FSC-C199529,PBN-FM/COC-076518,FM/COC,Valid,Site,INDONESIA,"15,913.70 ha",2024-05-08T00:00:00,2025-03-03T00:00:00,2029-05-07T00:00:00,,,,East Java,"Jl. Raya Klakah Km.3, Desa. Kebonan, Kecamatan Klakah",67356,https://search-api.fsc.org/api/v1/Certification/a02UV000000ySavYAE/PrintFile?culture=en,
