Id,OrganizationId,CertifiedStatus,License,CertificateCode,CertificateType,Organization,Role,Country,CertificateUrl,SalesActivityStatus
a02f300000gIoDNAA0,001f3000021TiDZAA0,Valid,FSC-C140552,SA-FM/COC-006782,FM/COC,Abadi,Site,INDONESIA,/api/v1/Certification/a02f300000gIoDNAA0/PrintFile?culture=en,
a02f300000gIoDNAA0,001Do000002nY1JIAU,Valid,FSC-C140552,SA-FM/COC-006782,FM/COC,Anggrek Sejahtera,Expired site,INDONESIA,/api/v1/Certification/a02f300000gIoDNAA0/PrintFile?culture=en,
a02f300000gIoDNAA0,001f3000021TiByAAK,Valid,FSC-C140552,SA-FM/COC-006782,FM/COC,Bahagia,Site,INDONESIA,/api/v1/Certification/a02f300000gIoDNAA0/PrintFile?culture=en,
a02Do000001456xIAA,001Do00000GSDm0IAH,Terminated,FSC-C188646,SCS-FM/COC-009836,FM/COC,BambooCoop,Certificate holder,INDONESIA,/api/v1/Certification/a02Do000001456xIAA/PrintFile?culture=en,
a02f300000e0UG9AAM,001f300001rXEn6AAG,Valid,FSC-C137288,BV-FM/COC-137288,FM/COC,CV DIPANTARA,Certificate holder,INDONESIA,/api/v1/Certification/a02f300000e0UG9AAM/PrintFile?culture=en,
a024y00000m5YqVAAU,0014y00002hFh3JAAS,Valid,FSC-C175782,SCS-FM/COC-008974,FM/COC,CV Indotama Kayu Lestari,Certificate holder,INDONESIA,/api/v1/Certification/a024y00000m5YqVAAU/PrintFile?culture=en,
a0240000006vnYUAAY,0014000000YvB73AAF,Terminated,FSC-C105494,SCS-FM/COC-004351,FM/COC,CV. Dipantara,Certificate holder,INDONESIA,/api/v1/Certification/a0240000006vnYUAAY/PrintFile?culture=en,
a024000000CtG9OAAV,0014000000vY4ZfAAK,Terminated,FSC-C114315,SA-FM/COC-004248,FM/COC,Carangwulung,Site,INDONESIA,/api/v1/Certification/a024000000CtG9OAAV/PrintFile?culture=en,
a02f300000gIoDNAA0,001Do000002nY27IAE,Valid,FSC-C140552,SA-FM/COC-006782,FM/COC,Citra Sejahtera Abadi,Expired site,INDONESIA,/api/v1/Certification/a02f300000gIoDNAA0/PrintFile?culture=en,
a024000000CzmYsAAJ,0014000001EoMPcAAN,Terminated,FSC-C114372,SA-FM/COC-004475,FM/COC,Ds. Deles,Site,INDONESIA,/api/v1/Certification/a024000000CzmYsAAJ/PrintFile?culture=en,
a024000000CzmYsAAJ,0014000001EoMPmAAN,Terminated,FSC-C114372,SA-FM/COC-004475,FM/COC,Ds. Getas,Site,INDONESIA,/api/v1/Certification/a024000000CzmYsAAJ/PrintFile?culture=en,
a024000000CzmYsAAJ,0014000001EoMPDAA3,Terminated,FSC-C114372,SA-FM/COC-004475,FM/COC,Ds. Kalirejo,Site,INDONESIA,/api/v1/Certification/a024000000CzmYsAAJ/PrintFile?culture=en,
a024000000CzmYsAAJ,0014000001EoMP3AAN,Terminated,FSC-C114372,SA-FM/COC-004475,FM/COC,Ds. Kebaturan,Site,INDONESIA,/api/v1/Certification/a024000000CzmYsAAJ/PrintFile?culture=en,
