filename,pbphh_company,pbphh_location,report_year,report_month,section_id,section_category,section_description,entry_number,entry_name,province,rencana_m3,pbphh_fsc_certified,pbphh_fsc_confidence,pbphh_fsc_status,pbphh_fsc_license,supplier_fsc_certified,supplier_fsc_confidence,supplier_fsc_status,supplier_fsc_license,total_sourcing_m3,concession_total_m3,concession_fsc_m3,concession_nonfsc_m3,other_sourcing_m3,pct_concession_from_fsc,pct_total_from_fsc_concessions
output_P1015_2024_12.pdf,"INDOTAMA OMICRON KAHAR, PT.","Kabupaten/Kota Purworejo, Provinsi Jawa Tengah",2024,Desember,XI,hutan_rakyat_budidaya,Hutan Rakyat Kayu Tanaman Budidaya (Cultivated Community Timber),1,Bandung,Jawa Barat,1000.00,Yes,high,Valid,FSC-C161044,,,,,219500.00,0.00,0.00,0.00,219500.00,,0.0
output_P1015_2024_12.pdf,"INDOTAMA OMICRON KAHAR, PT.","Kabupaten/Kota Purworejo, Provinsi Jawa Tengah",2024,Desember,XI,hutan_rakyat_budidaya,Hutan Rakyat Kayu Tanaman Budidaya (Cultivated Community Timber),2,Bantul,Daerah Istimewa Yogyakarta,1000.00,Yes,high,Valid,FSC-C161044,,,,,219500.00,0.00,0.00,0.00,219500.00,,0.0
output_P1015_2024_12.pdf,"INDOTAMA OMICRON KAHAR, PT.","Kabupaten/Kota Purworejo, Provinsi Jawa Tengah",2024,Desember,XI,hutan_rakyat_budidaya,Hutan Rakyat Kayu Tanaman Budidaya (Cultivated Community Timber),3,Banyumas,Jawa Tengah,1000.00,Yes,high,Valid,FSC-C161044,,,,,219500.00,0.00,0.00,0.00,219500.00,,0.0
output_P1015_2024_12.pdf,"INDOTAMA OMICRON KAHAR, PT.","Kabupaten/Kota Purworejo, Provinsi Jawa Tengah",2024,Desember,XI,hutan_rakyat_budidaya,Hutan Rakyat Kayu Tanaman Budidaya (Cultivated Community Timber),4,Batang,Jawa Tengah,1000.00,Yes,high,Valid,FSC-C161044,,,,,219500.00,0.00,0.00,0.00,219500.00,,0.0
output_P1015_2024_12.pdf,"INDOTAMA OMICRON KAHAR, PT.","Kabupaten/Kota Purworejo, Provinsi Jawa Tengah",2024,Desember,XI,hutan_rakyat_budidaya,Hutan Rakyat Kayu Tanaman Budidaya (Cultivated Community Timber),5,Bogor,Jawa Barat,1000.00,Yes,high,Valid,FSC-C161044,,,,,219500.00,0.00,0.00,0.00,219500.00,,0.0
output_P1015_2024_12.pdf,"INDOTAMA OMICRON KAHAR, PT.","Kabupaten/Kota Purworejo, Provinsi Jawa Tengah",2024,Desember,XI,hutan_rakyat_budidaya,Hutan Rakyat Kayu Tanaman Budidaya (Cultivated Community Timber),6,Boyolali,Jawa Tengah,1000.00,Yes,high,Valid,FSC-C161044,,,,,219500.00,0.00,0.00,0.00,219500.00,,0.0
output_P1015_2024_12.pdf,"INDOTAMA OMICRON KAHAR, PT.","Kabupaten/Kota Purworejo, Provinsi Jawa Tengah",2024,Desember,XI,hutan_rakyat_budidaya,Hutan Rakyat Kayu Tanaman Budidaya (Cultivated Community Timber),7,Brebes,Jawa Tengah,1000.00,Yes,high,Valid,FSC-C161044,,,,,219500.00,0.00,0.00,0.00,219500.00,,0.0
output_P1015_2024_12.pdf,"INDOTAMA OMICRON KAHAR, PT.","Kabupaten/Kota Purworejo, Provinsi Jawa Tengah",2024,Desember,XI,hutan_rakyat_budidaya,Hutan Rakyat Kayu Tanaman Budidaya (Cultivated Community Timber),8,Ciamis,Jawa Barat,4000.00,Yes,high,Valid,FSC-C161044,,,,,219500.00,0.00,0.00,0.00,219500.00,,0.0
output_P1015_2024_12.pdf,"INDOTAMA OMICRON KAHAR, PT.","Kabupaten/Kota Purworejo, Provinsi Jawa Tengah",2024,Desember,XI,hutan_rakyat_budidaya,Hutan Rakyat Kayu Tanaman Budidaya (Cultivated Community Timber),9,Cianjur,Jawa Barat,2000.00,Yes,high,Valid,FSC-C161044,,,,,219500.00,0.00,0.00,0.00,219500.00,,0.0
output_P1015_2024_12.pdf,"INDOTAMA OMICRON KAHAR, PT.","Kabupaten/Kota Purworejo, Provinsi Jawa Tengah",2024,Desember,XI,hutan_rakyat_budidaya,Hutan Rakyat Kayu Tanaman Budidaya (Cultivated Community Timber),10,Cilacap,Jawa Tengah,2000.00,Yes,high,Valid,FSC-C161044,,,,,219500.00,0.00,0.00,0.00,219500.00,,0.0
output_P1015_2024_12.pdf,"INDOTAMA OMICRON KAHAR, PT.","Kabupaten/Kota Purworejo, Provinsi Jawa Tengah",2024,Desember,XI,hutan_rakyat_budidaya,Hutan Rakyat Kayu Tanaman Budidaya (Cultivated Community Timber),11,Garut,Jawa Barat,11000.00,Yes,high,Valid,FSC-C161044,,,,,219500.00,0.00,0.00,0.00,219500.00,,0.0
output_P1015_2024_12.pdf,"INDOTAMA OMICRON KAHAR, PT.","Kabupaten/Kota Purworejo, Provinsi Jawa Tengah",2024,Desember,XI,hutan_rakyat_budidaya,Hutan Rakyat Kayu Tanaman Budidaya (Cultivated Community Timber),12,Gunung Kidul,Daerah Istimewa Yogyakarta,5000.00,Yes,high,Valid,FSC-C161044,,,,,219500.00,0.00,0.00,0.00,219500.00,,0.0
output_P1015_2024_12.pdf,"INDOTAMA OMICRON KAHAR, PT.","Kabupaten/Kota Purworejo, Provinsi Jawa Tengah",2024,Desember,XI,hutan_rakyat_budidaya,Hutan Rakyat Kayu Tanaman Budidaya (Cultivated Community Timber),13,Jepara,Jawa Tengah,1000.00,Yes,high,Valid,FSC-C161044,,,,,219500.00,0.00,0.00,0.00,219500.00,,0.0
output_P1015_2024_12.pdf,"INDOTAMA OMICRON KAHAR, PT.","Kabupaten/Kota Purworejo, Provinsi Jawa Tengah",2024,Desember,XI,hutan_rakyat_budidaya,Hutan Rakyat Kayu Tanaman Budidaya (Cultivated Community Timber),14,Kebumen,Jawa Tengah,5000.00,Yes,high,Valid,FSC-C161044,,,,,219500.00,0.00,0.00,0.00,219500.00,,0.0
output_P1015_2024_12.pdf,"INDOTAMA OMICRON KAHAR, PT.","Kabupaten/Kota Purworejo, Provinsi Jawa Tengah",2024,Desember,XI,hutan_rakyat_budidaya,Hutan Rakyat Kayu Tanaman Budidaya (Cultivated Community Timber),15,Klaten,Jawa Tengah,1000.00,Yes,high,Valid,FSC-C161044,,,,,219500.00,0.00,0.00,0.00,219500.00,,0.0
output_P1015_2024_12.pdf,"INDOTAMA OMICRON KAHAR, PT.","Kabupaten/Kota Purworejo, Provinsi Jawa Tengah",2024,Desember,XI,hutan_rakyat_budidaya,Hutan Rakyat Kayu Tanaman Budidaya (Cultivated Community Timber),16,Kulon Progo,Daerah Istimewa Yogyakarta,19000.00,Yes,high,Valid,FSC-C161044,,,,,219500.00,0.00,0.00,0.00,219500.00,,0.0
output_P1015_2024_12.pdf,"INDOTAMA OMICRON KAHAR, PT.","Kabupaten/Kota Purworejo, Provinsi Jawa Tengah",2024,Desember,XI,hutan_rakyat_budidaya,Hutan Rakyat Kayu Tanaman Budidaya (Cultivated Community Timber),17,Magelang,Jawa Tengah,1000.00,Yes,high,Valid,FSC-C161044,,,,,219500.00,0.00,0.00,0.00,219500.00,,0.0
output_P1015_2024_12.pdf,"INDOTAMA OMICRON KAHAR, PT.","Kabupaten/Kota Purworejo, Provinsi Jawa Tengah",2024,Desember,XI,hutan_rakyat_budidaya,Hutan Rakyat Kayu Tanaman Budidaya (Cultivated Community Timber),18,Pacitan,Jawa Timur,5000.00,Yes,high,Valid,FSC-C161044,,,,,219500.00,0.00,0.00,0.00,219500.00,,0.0
output_P1015_2024_12.pdf,"INDOTAMA OMICRON KAHAR, PT.","Kabupaten/Kota Purworejo, Provinsi Jawa Tengah",2024,Desember,XI,hutan_rakyat_budidaya,Hutan Rakyat Kayu Tanaman Budidaya (Cultivated Community Timber),19,Pangandaran,Jawa Barat,1000.00,Yes,high,Valid,FSC-C161044,,,,,219500.00,0.00,0.00,0.00,219500.00,,0.0
output_P1015_2024_12.pdf,"INDOTAMA OMICRON KAHAR, PT.","Kabupaten/Kota Purworejo, Provinsi Jawa Tengah",2024,Desember,XI,hutan_rakyat_budidaya,Hutan Rakyat Kayu Tanaman Budidaya (Cultivated Community Timber),20,Pekalongan,Jawa Tengah,1000.00,Yes,high,Valid,FSC-C161044,,,,,219500.00,0.00,0.00,0.00,219500.00,,0.0
output_P1015_2024_12.pdf,"INDOTAMA OMICRON KAHAR, PT.","Kabupaten/Kota Purworejo, Provinsi Jawa Tengah",2024,Desember,XI,hutan_rakyat_budidaya,Hutan Rakyat Kayu Tanaman Budidaya (Cultivated Community Timber),21,Ponorogo,Jawa Timur,1000.00,Yes,high,Valid,FSC-C161044,,,,,219500.00,0.00,0.00,0.00,219500.00,,0.0
output_P1015_2024_12.pdf,"INDOTAMA OMICRON KAHAR, PT.","Kabupaten/Kota Purworejo, Provinsi Jawa Tengah",2024,Desember,XI,hutan_rakyat_budidaya,Hutan Rakyat Kayu Tanaman Budidaya (Cultivated Community Timber),22,Purbalingga,Jawa Tengah,1000.00,Yes,high,Valid,FSC-C161044,,,,,219500.00,0.00,0.00,0.00,219500.00,,0.0
output_P1015_2024_12.pdf,"INDOTAMA OMICRON KAHAR, PT.","Kabupaten/Kota Purworejo, Provinsi Jawa Tengah",2024,Desember,XI,hutan_rakyat_budidaya,Hutan Rakyat Kayu Tanaman Budidaya (Cultivated Community Timber),23,Purworejo,Jawa Tengah,119000.00,Yes,high,Valid,FSC-C161044,,,,,219500.00,0.00,0.00,0.00,219500.00,,0.0
output_P1015_2024_12.pdf,"INDOTAMA OMICRON KAHAR, PT.","Kabupaten/Kota Purworejo, Provinsi Jawa Tengah",2024,Desember,XI,hutan_rakyat_budidaya,Hutan Rakyat Kayu Tanaman Budidaya (Cultivated Community Timber),24,Semarang,Jawa Tengah,1000.00,Yes,high,Valid,FSC-C161044,,,,,219500.00,0.00,0.00,0.00,219500.00,,0.0
output_P1015_2024_12.pdf,"INDOTAMA OMICRON KAHAR, PT.","Kabupaten/Kota Purworejo, Provinsi Jawa Tengah",2024,Desember,XI,hutan_rakyat_budidaya,Hutan Rakyat Kayu Tanaman Budidaya (Cultivated Community Timber),25,Sleman,Daerah Istimewa Yogyakarta,1000.00,Yes,high,Valid,FSC-C161044,,,,,219500.00,0.00,0.00,0.00,219500.00,,0.0
output_P1015_2024_12.pdf,"INDOTAMA OMICRON KAHAR, PT.","Kabupaten/Kota Purworejo, Provinsi Jawa Tengah",2024,Desember,XI,hutan_rakyat_budidaya,Hutan Rakyat Kayu Tanaman Budidaya (Cultivated Community Timber),26,Sukabumi,Jawa Barat,1000.00,Yes,high,Valid,FSC-C161044,,,,,219500.00,0.00,0.00,0.00,219500.00,,0.0
output_P1015_2024_12.pdf,"INDOTAMA OMICRON KAHAR, PT.","Kabupaten/Kota Purworejo, Provinsi Jawa Tengah",2024,Desember,XI,hutan_rakyat_budidaya,Hutan Rakyat Kayu Tanaman Budidaya (Cultivated Community Timber),27,Tasikmalaya,Jawa Barat,7000.00,Yes,high,Valid,FSC-C161044,,,,,219500.00,0.00,0.00,0.00,219500.00,,0.0
output_P1015_2024_12.pdf,"INDOTAMA OMICRON KAHAR, PT.","Kabupaten/Kota Purworejo, Provinsi Jawa Tengah",2024,Desember,XI,hutan_rakyat_budidaya,Hutan Rakyat Kayu Tanaman Budidaya (Cultivated Community Timber),28,Trenggalek,Jawa Timur,1000.00,Yes,high,Valid,FSC-C161044,,,,,219500.00,0.00,0.00,0.00,219500.00,,0.0
output_P1015_2024_12.pdf,"INDOTAMA OMICRON KAHAR, PT.","Kabupaten/Kota Purworejo, Provinsi Jawa Tengah",2024,Desember,XI,hutan_rakyat_budidaya,Hutan Rakyat Kayu Tanaman Budidaya (Cultivated Community Timber),29,Wonogiri,Jawa Tengah,2000.00,Yes,high,Valid,FSC-C161044,,,,,219500.00,0.00,0.00,0.00,219500.00,,0.0
output_P1015_2024_12.pdf,"INDOTAMA OMICRON KAHAR, PT.","Kabupaten/Kota Purworejo, Provinsi Jawa Tengah",2024,Desember,XI,hutan_rakyat_budidaya,Hutan Rakyat Kayu Tanaman Budidaya (Cultivated Community Timber),30,Wonosobo,Jawa Tengah,5000.00,Yes,high,Valid,FSC-C161044,,,,,219500.00,0.00,0.00,0.00,219500.00,,0.0
output_P1015_2024_12.pdf,"INDOTAMA OMICRON KAHAR, PT.","Kabupaten/Kota Purworejo, Provinsi Jawa Tengah",2024,Desember,XI,hutan_rakyat_budidaya,Hutan Rakyat Kayu Tanaman Budidaya (Cultivated Community Timber),31,Yogyakarta,Daerah Istimewa Yogyakarta,1000.00,Yes,high,Valid,FSC-C161044,,,,,219500.00,0.00,0.00,0.00,219500.00,,0.0
output_P1015_2024_12.pdf,"INDOTAMA OMICRON KAHAR, PT.","Kabupaten/Kota Purworejo, Provinsi Jawa Tengah",2024,Desember,XV,tptkb,TPTKB/TPKRT/Pengumpul Limbah (Collection Points/Mill Waste),1,Limbah Dari Pabrik Sendiri (Jateng),Jawa Tengah,10000.00,Yes,high,Valid,FSC-C161044,,,,,219500.00,0.00,0.00,0.00,219500.00,,0.0
output_P1015_2024_12.pdf,"INDOTAMA OMICRON KAHAR, PT.","Kabupaten/Kota Purworejo, Provinsi Jawa Tengah",2024,Desember,XVI,iphhk_lain_olahan_setengah_jadi,IPHHK Lain (Other Timber Processors),1,"RHINO PRIMA INDONESIA, PT",Jawa Barat,4500.00,Yes,high,Valid,FSC-C161044,,,,,219500.00,0.00,0.00,0.00,219500.00,,0.0
